2452309.65888  17.260 0.037
2452309.66403  17.154 0.052
2452316.63305  18.055 0.039
2452316.63882  17.732 0.029
2452316.64651  17.640 0.030
2452316.65425  17.576 0.049
2452322.60540  17.186 0.015
2452322.61308  17.250 0.016
2452322.62074  17.145 0.015
2452322.62842  17.110 0.015
2452369.53822  17.770 0.037
2452369.54463  18.056 0.058
2452386.49332  17.197 0.017
2452386.50085  17.222 0.017
2452387.50386  17.454 0.026
2452387.51148  17.465 0.029
2452387.52426  17.284 0.044
2452388.49978  17.196 0.028
2452388.50724  17.328 0.030
2452388.51360  17.279 0.029
2452388.51999  17.363 0.038
2452403.46325  17.024 0.017
2452403.47080  17.146 0.017
2452403.47831  17.150 0.018
2452405.50170  17.056 0.041
2452412.46852  16.948 0.026
2452412.47611  16.949 0.025
2452412.48362  16.813 0.024
2452417.45085  17.180 0.027
2452417.46609  17.105 0.023
2452428.44928  17.645 0.046
2452428.45689  17.744 0.056
2452440.41843  17.026 0.026
2452440.42482  17.132 0.025
2452440.43122  17.116 0.028
2452445.41262  17.396 0.048
2452445.42014  17.200 0.039
2452446.41320  17.022 0.041
2452446.42842  16.937 0.035
2452464.38246  16.924 0.045
2452464.39021  17.002 0.042
2452464.39777  17.106 0.048
2452464.40545  17.090 0.046
2452466.46323  17.974 0.146
2452387.51786  17.456 0.034
2452417.45839  17.240 0.027
2452466.47121  18.044 0.153
2452484.34033  16.972 0.041
2452501.24964  18.162 0.115
2452539.32272  17.390 0.076
2452568.29889  17.395 0.084
2452596.27012  17.570 0.109
2452771.52650  17.790 0.071
2452796.50183  17.135 0.027
2452838.48891  17.117 0.063
2452852.43512  17.320 0.045
2452870.36662  17.182 0.041
2452910.32859  17.331 0.029
2452917.28325  17.430 0.050
2452466.47882  17.531 0.101
2452470.36420  17.595 0.080
2452470.37188  17.669 0.075
2452470.37982  17.640 0.072
2452470.38735  17.284 0.053
2452472.44009  17.277 0.056
2452472.44764  17.192 0.045
2452472.45518  17.153 0.045
2452472.46272  17.119 0.043
2452474.46250  16.833 0.043
2452474.47015  16.965 0.043
2452474.47766  17.240 0.052
2452474.48533  16.892 0.046
2452478.40259  17.019 0.061
2452484.32515  17.026 0.046
2452484.33269  16.892 0.040
2452484.34785  17.148 0.046
2452486.37362  17.057 0.055
2452486.38144  17.225 0.060
2452486.38911  17.163 0.060
2452486.39673  17.545 0.081
2452491.40650  17.676 0.070
2452491.41401  17.542 0.058
2452491.42241  17.323 0.047
2452491.43117  17.270 0.044
2452501.24317  18.600 0.155
2452501.26273  17.570 0.046
2452528.23047  17.440 0.072
2452528.24042  17.585 0.068
2452528.24915  17.461 0.061
2452528.26434  17.346 0.060
2452530.35506  18.434 0.117
2452530.37250  17.819 0.059
2452533.34882  17.365 0.055
2452533.35749  17.493 0.053
2452533.36628  17.413 0.047
2452537.27737  17.137 0.051
2452537.28478  17.332 0.058
2452537.29116  17.231 0.054
2452537.29759  17.338 0.058
2452539.31636  17.319 0.072
2452539.32918  17.352 0.077
2452539.33558  17.234 0.069
2452540.27007  17.453 0.059
2452540.27652  17.284 0.052
2452540.28291  17.349 0.056
2452540.28930  17.502 0.064
2452541.33893  17.385 0.068
2452541.34533  17.503 0.069
2452541.35172  17.454 0.068
2452541.35808  17.446 0.066
2452557.29280  17.246 0.026
2452557.29937  17.293 0.026
2452557.30574  17.337 0.026
2452557.31213  17.302 0.026
2452568.27967  17.658 0.099
2452568.28764  17.697 0.125
2452568.29139  17.564 0.093
2452569.27413  17.323 0.064
2452569.28187  17.316 0.064
2452569.28949  17.341 0.067
2452569.29702  17.288 0.065
2452581.20798  17.705 0.037
2452581.21585  17.678 0.035
2452581.22227  17.603 0.032
2452581.22868  17.452 0.027
2452593.24106  17.374 0.038
2452593.24857  17.279 0.035
2452593.25609  17.316 0.036
2452593.26360  17.295 0.035
2452594.21608  17.497 0.062
2452594.22364  17.456 0.056
2452594.23130  17.569 0.056
2452594.23881  17.619 0.082
2452596.26259  17.692 0.131
2452596.27766  17.753 0.129
2452596.28527  18.242 0.199
2452597.24279  17.822 0.124
2452597.25033  17.769 0.111
2452597.25784  17.595 0.090
2452751.56622  18.000 0.100
2452751.57369  18.182 0.209
2452754.56813  17.591 0.110
2452756.56357  18.033 0.122
2452767.53985  17.006 0.027
2452767.54753  17.147 0.040
2452767.55496  17.255 0.080
2452770.53577  17.216 0.042
2452770.54324  17.138 0.048
2452770.55073  17.687 0.120
2452771.53400  17.405 0.055
2452771.54151  17.412 0.067
2452771.54889  17.631 0.116
2452775.52560  17.081 0.079
2452775.53315  17.093 0.076
2452775.54065  17.341 0.105
2452783.53207  17.626 0.100
2452783.53883  17.742 0.164
2452792.49935  17.236 0.039
2452792.50719  17.383 0.050
2452792.51506  17.304 0.053
2452794.47861  17.141 0.032
2452794.48646  17.137 0.028
2452794.49433  17.190 0.028
2452794.50214  17.095 0.028
2452796.51005  17.096 0.028
2452798.50244  17.316 0.047
2452798.51031  17.166 0.041
2452798.51816  17.122 0.047
2452798.52603  17.081 0.070
2452823.49828  17.156 0.043
2452823.51099  17.128 0.044
2452823.51902  17.256 0.057
2452823.52703  17.260 0.074
2452825.47639  17.088 0.044
2452825.48386  17.118 0.041
2452825.49132  17.296 0.048
