# JD (TT) mg err
2452309.66075  16.299 0.017
2452309.66590  16.284 0.025
2452316.63433  17.100 0.025
2452316.64070  16.929 0.019
2452316.64838  16.695 0.017
2452322.60727  16.288 0.011
2452322.61496  16.274 0.011
2452322.62262  16.225 0.010
2452322.63029  16.242 0.011
2452367.50301  16.375 0.018
2452367.51198  16.856 0.026
2452367.51672  16.849 0.026
2452367.52137  17.155 0.031
2452369.53981  16.954 0.022
2452369.54622  17.190 0.029
2452386.48769  16.353 0.012
2452386.50272  16.452 0.013
2452387.50573  16.563 0.016
2452387.51307  16.528 0.016
2452387.51945  16.471 0.016
2452387.52584  16.370 0.019
2452388.50166  16.301 0.016
2452388.50882  16.319 0.016
2452388.51519  16.392 0.016
2452388.52158  16.427 0.018
2452403.46514  16.274 0.011
2452403.47268  16.304 0.011
2452403.48019  16.333 0.011
2452405.50358  16.351 0.019
2452406.46415  16.458 0.014
2452406.47166  16.582 0.016
2452406.47919  16.775 0.019
2452412.47040  16.279 0.014
2452412.48550  16.211 0.014
2452412.49314  16.231 0.016
2452417.45272  16.433 0.017
2452417.46027  16.318 0.015
2452417.46797  16.313 0.015
2452428.44365  16.861 0.022
2452428.45116  17.128 0.027
2452428.45876  17.080 0.028
2452440.42001  16.387 0.015
2452440.42641  16.458 0.015
2452440.43280  16.549 0.017
2452445.41449  16.565 0.019
2452445.42203  16.619 0.020
2452445.42954  16.775 0.024
2452445.43746  16.781 0.025
2452446.40733  16.426 0.023
2452446.41507  16.367 0.021
2452446.43029  16.214 0.017
2452455.37501  16.313 0.022
2452455.38280  16.336 0.024
2452455.39051  16.481 0.027
2452458.40166  16.446 0.021
2452458.40918  16.303 0.019
2452458.41677  16.116 0.018
2452459.41151  16.144 0.020
2452459.41903  16.202 0.022
2452462.46048  16.190 0.019
2452462.47651  16.108 0.018
2452464.39210  16.430 0.030
2452386.49521  16.383 0.012
2452412.47799  16.257 0.014
2452446.42266  16.232 0.018
2452464.39965  16.335 0.024
2452491.43328  16.347 0.019
2452537.27925  16.294 0.023
2452557.30733  16.452 0.016
2452767.54941  16.433 0.019
2452792.51711  16.538 0.027
2452825.50082  16.187 0.020
2452842.39505  16.632 0.023
2452869.38432  16.896 0.037
2452908.29920  16.494 0.016
2452915.32731  16.869 0.021
2452464.40733  16.194 0.020
2452466.45755  17.170 0.063
2452466.46511  16.955 0.057
2452466.47308  16.918 0.053
2452466.48071  16.799 0.048
2452470.36608  16.873 0.033
2452470.37375  16.805 0.031
2452470.38170  16.757 0.029
2452470.38924  16.543 0.025
2452472.44197  16.297 0.021
2452472.44952  16.278 0.021
2452472.45706  16.294 0.021
2452472.46460  16.236 0.020
2452474.46438  16.231 0.019
2452474.47203  16.277 0.021
2452474.47954  16.277 0.021
2452474.48721  16.216 0.021
2452478.40449  16.463 0.038
2452484.32703  16.221 0.021
2452484.33456  16.073 0.019
2452484.34220  16.378 0.026
2452484.34972  16.178 0.021
2452486.38331  16.419 0.028
2452486.39100  16.510 0.031
2452486.39860  16.681 0.036
2452491.40837  16.769 0.028
2452491.41588  16.576 0.024
2452491.42452  16.387 0.020
2452498.34372  16.164 0.013
2452498.35123  16.087 0.013
2452498.35873  16.111 0.013
2452501.24477  17.119 0.031
2452501.25776  16.699 0.023
2452501.26432  16.642 0.021
2452528.25132  16.611 0.027
2452528.26652  16.451 0.024
2452530.35724  17.345 0.042
2452530.36603  17.040 0.033
2452530.37468  16.752 0.028
2452533.35100  16.705 0.027
2452533.36845  16.432 0.018
2452537.28637  16.367 0.025
2452537.29275  16.356 0.025
2452537.29918  16.469 0.027
2452539.31794  16.513 0.033
2452539.32432  16.589 0.034
2452539.33077  16.535 0.035
2452539.33717  16.476 0.033
2452540.27810  16.620 0.029
2452540.28449  16.507 0.028
2452540.29089  16.609 0.029
2452541.34051  16.718 0.036
2452557.29439  16.441 0.016
2452557.30096  16.519 0.016
2452557.31372  16.541 0.017
2452568.28155  17.001 0.052
2452568.29327  16.763 0.043
2452568.30077  16.683 0.041
2452569.28375  16.529 0.030
2452569.29137  16.451 0.029
2452569.29890  16.492 0.030
2452581.20957  16.993 0.024
2452581.21743  16.864 0.022
2452581.22387  16.722 0.020
2452581.23027  16.582 0.018
2452593.24293  16.464 0.020
2452593.25044  16.371 0.018
2452593.25797  16.351 0.018
2452593.26548  16.317 0.017
2452597.24467  16.965 0.056
2452597.25221  16.944 0.050
2452597.25971  16.630 0.038
2452751.56809  17.202 0.041
2452751.57557  17.196 0.066
2452754.57750  16.446 0.075
2452756.56545  17.128 0.042
2452756.57254  17.175 0.074
2452767.54173  16.326 0.014
2452770.53764  16.561 0.021
2452770.54512  16.551 0.024
2452771.52838  16.944 0.032
2452771.53587  16.721 0.027
2452771.54338  16.524 0.026
2452771.55048  16.787 0.041
2452775.52748  16.464 0.038
2452775.53503  16.462 0.038
2452775.54253  16.533 0.045
2452783.53395  16.886 0.041
2452792.50140  16.284 0.019
2452792.50924  16.524 0.026
2452794.48067  16.159 0.015
2452794.48852  16.187 0.014
2452794.49639  16.145 0.014
2452794.50419  16.113 0.014
2452796.50395  16.325 0.014
2452796.51218  16.277 0.015
2452798.50449  16.369 0.018
2452798.52808  16.147 0.026
2452823.50040  16.115 0.019
2452823.51310  16.177 0.020
2452823.52114  16.216 0.023
2452823.52912  16.298 0.029
2452825.47844  16.066 0.019
2452825.49337  16.142 0.019
2452826.43069  16.397 0.020
2452826.43564  16.392 0.019
2452826.44058  16.320 0.018
2452826.44553  16.326 0.018
2452838.49079  16.398 0.027
2452838.49794  16.524 0.032
2452838.50511  16.838 0.040
2452839.48478  16.414 0.024
2452839.49200  16.324 0.022
2452839.49919  16.325 0.023
2452839.50637  16.212 0.021
2452840.40152  17.270 0.039
2452840.40646  17.150 0.034
2452840.41140  16.986 0.030
2452842.37949  16.528 0.021
2452842.38468  16.561 0.022
2452842.38986  16.595 0.022
2452851.42577  16.848 0.029
2452852.43640  16.530 0.024
2452852.44159  16.446 0.020
2452852.44676  16.394 0.019
2452854.36551  16.386 0.019
2452854.37078  16.460 0.020
2452854.37619  16.528 0.020
2452854.38163  16.571 0.021
2452867.41400  16.221 0.021
2452867.42203  16.202 0.020
2452867.43023  16.139 0.020
2452867.43816  16.216 0.021
2452869.39178  16.582 0.028
2452869.39926  16.529 0.027
2452869.40676  16.482 0.025
2452870.36189  16.462 0.025
2452870.36821  16.457 0.024
2452870.37454  16.317 0.021
2452870.38086  16.324 0.022
2452890.32757  16.360 0.021
2452890.33467  16.397 0.022
2452890.34103  16.404 0.022
2452891.37308  16.862 0.031
2452891.38066  16.663 0.028
2452891.38816  16.670 0.027
2452906.30360  16.901 0.021
2452906.31123  16.962 0.022
2452906.31878  16.799 0.020
2452906.32676  16.635 0.017
2452908.30694  16.641 0.018
2452908.31477  16.814 0.020
2452908.32266  16.988 0.024
2452910.32264  16.399 0.015
2452910.33053  16.513 0.017
2452910.33842  16.626 0.019
